# ISO639-1 | ISO639-2

AB | ABK
AA | AAR
AF | AFR
AK | AKA
SQ | ALB,SQI
AM | AMH
AR | ARA
AN | ARG
HY | ARM,HYE
AS | ASM
AV | AVA
AE | AVE
AY | AYM
AZ | AZE
BM | BAM
BY | BDF,BAN
BA | BAK
EU | BAQ,EUS
BE | BEL
BN | BEN
BH | BIH
BI | BIS
BS | BOS
BR | BRE
BG | BUL
MY | BUR,MYA
CA | CAT
CH | CHA
CE | CHE
NY | NYA
ZH | CHI,ZHO
CU | CHU
CV | CHV
KW | COR
CO | COS
CR | CRE
HR | SCR,HRV
CS | CZE,CES
DA | DAN
DV | DIV
NL | DUT,NLD
DZ | DZO
EN | ENG
EO | EPO
ET | EST
EE | EWE
FO | FAO
FJ | FIJ
FI | FIN
FR | FRE,FRA
FY | FRY
FF | FUL
GL | GLG
LG | LUG
KA | GEO
DE | GER
EL | GRE
KL | KAL
GN | GRN
GU | GUJ
HT | HAT
HA | HAU
HE | HEB
HZ | HER
HI | HIN
HO | HMO
HU | HUN
IS | ICE,ISL
IO | IDO
IG | IBO
ID | IND
IU | IKU
IK | IPK
GA | GLE
IT | ITA
JA | JPN
JV | JAV
KN | KAN
KR | KAU
KS | KAS
KK | KAZ
KM | KHM
KI | KIK
RW | KIN
KY | KIR
KV | KOM
KG | KON
KO | KOR
KJ | KUA
KU | KUR
LO | LAO
LA | LAT
LV | LAV
LI | LIM
LN | LIN
LT | LIT
LU | LUB
LB | LTZ
MK | MAC,MKD
MG | MLG
MS | MAY,MSA
ML | MAL
MT | MLT
GV | GLV
MI | MAO,MRI
MR | MAR
MH | MAH
MO | MOL
MN | MON
NA | NAU
NV | NAV
ND | NDE
NR | NBL
NG | NDO
NE | NEP
SE | SME
NO | NOR
NB | NOB
NN | NNO
OC | OCI
OJ | OJI
OR | ORI
OM | ORM
OS | OSS
PI | PLI
FA | PER,FAW
PL | POL
PT | POR
PA | PAN
PS | PUS
QU | QUE
RM | ROH
RO | ROM,RON
RN | RUN
RU | RUS
SM | SMO
SG | SAG
SA | SAN
SC | SRD
GD | GLA
SR | SCC,SRP
SN | SNA
II | III
SD | SND
SI | SIN
SK | SLO,SLK
SL | SLV
SO | SOM
ST | SOT
ES | SPA
SU | SUN
SW | SWA
SS | SSW
SV | SWE
TL | TLG
TY | TAH
TG | TGK
TA | TAM
TT | TAT
TE | TEL
TH | THA
BO | TIB,BOD
TI | TIR
TO | TON
TS | TSO
TN | TSN
TR | TUR
TK | TUK
TW | TWI
UG | UIG
UK | UKR
UR | URD
UZ | UZB
VE | VEN
VI | VIE
VO | VOL
WA | WLN
CY | WEL,CYM
WO | WOL
XH | XHO
YI | YID
YO | YOR
ZA | ZHA
ZU | ZUL
