aa | afar
ab | abjasiano
af | afrikaans
am | amárico
ar | árabe
as | asamés
ay | aymara
az | azerbaiyano
ba | bashkiro
be | bielorruso
bg | búlgaro
bh | biharí
bi | bislama
bn | bengalí
bo | tibetano
br | bretón
ca | catalán
ce | checheno
co | corso
cs | checo
cy | galés
da | danés
de | alemán
dz | butanés butaní
el | griego
en | inglés
eo | esperanto
es | español
et | estonio
eu | euskera
fa | persa
fi | finlandés
fj | fijiano fidji
fo | faroés feroés
fr | francés
fy | frisio
ga | irlandés
gd | Gaélico escocés
gl | gallego
gn | guaraní
gu | gujaratí
gv | manés
ha | hausa haoussa
he | hebreo
hi | hindú
hr | croata
hu | húngaro
hy | armenio
ia | interlingua
id | indonesio
ie | interlingue
ik | inupiak
is | islandés
it | italiano
iu | inuktitut
ja | japonés
jv | javanés
ka | georgiano
kk | kazajio
kl | groenlandés
km | camboyano
kn | kanada
ko | coreano
ks | cachemirí
ku | curdo o kurdo
kw | córnico
ky | kirguís
la | latín
lb | luxemburgués
ln | lingala
lo | laosiano
lt | lituano
lv | letón
mg | malgache
mi | maorí
mk | macedonio
ml | malayalam
mn | mongol
mo | moldavo
mr | márata
ms | malayo
mt | maltés
my | birmano
na | nauruano
ne | nepalí
nl | holandés
no | noruego
oc | occitano
om | oromo
or | oriya
pa | panyabí
pl | polaco
ps | pashto
pt | portugués
qu | quechua
rm | retorrománico
rn | rundí
ro | rumano
ru | ruso
rw | ruandés
sa | sánscrito
sd | sindino
sg | sango
sh | serbocroata
si | cingalés
sk | eslovaco
sl | esloveno
sm | samoano
sn | sonés
so | somalí
sq | albanés
sr | serbio
ss | swazi
st | sesotés
su | sudanés
sv | sueco
sw | suajili
ta | tamil
te | telugu
tg | tajik
th | tailandés
ti | tigriñes
tk | turkmeno?
tl | tagalo
tn | sechuanés
to | tongués
tr | turco
ts | tsonga
tt | tártaro
tw | tui
uk | ucraniano
ur | urdu
uz | uzbeko
vi | vietnamita
vo | volapük
wo | uolof
xh | xhosa
yi | yídish
yo | yoruba
zh | chino
zu | zulú
