aa | Afar
ab | Abchazisch
af | Afrikaans
am | Amhaars
ar | Arabisch
as | Assamees
ay | Aymara
az | Azeri
ba | Basjkiers
be | Wit-Russisch
bg | Bulgaars
bh | Bihari
bi | Bislama
bn | Bengaals
bo | Tibetaans
br | Bretons
ca | Catalaans
co | Corsicaans
cy | Welsh
da | Deens
de | Duits
dz | Bhutaans
el | Grieks
en | Engels
eo | Esperanto
es | Spaans
et | Estisch
eu | Baskisch
fa | Perzisch
fi | Fins
fj | Fijisch
fo | Faeröers
fr | Frans
fy | Fries
ga | Iers
gd | Schots-Gaelisch
gl | Galicisch
gn | Guaraní
gu | Gujarati
gv | Manx
ha | Hausa
he | Hebreeuws
hi | Hindi
hr | Kroatisch
hu | Hongaars
hy | Armeens
ia | Interlingua
id | Indonesisch
ie | Interlingua
ik | Inupiak
is | IJslands
it | Italiaans
iu | Inuktitut
ja | Japans
jv | Javaans
ka | Georgisch
kk | Kazachs
ki | Groenlands
km | Khmer
kn | Kanarees
ko | Koreaans
ks | Kasjmiers
ku | Koerdisch
kw | Cornish
ky | Kirgizisch
la | Latijn
lb | Luxemburgs
li | Limburgs
ln | Lingala
lo | Laotiaans
lt | Litouws
lv | Lets
mg | Malagasi
mi | Maori
mk | Macedonisch
ml | Malayalam
mn | Mongools
mo | Moldavisch
mr | Marathi
ms | Maleis
mt | Maltees
my | Birmaans
na | Nauruaans
ne | Nepalees
nl | Nederlands
no | Noors
oc | Occitaans
om | Oromo
or | Oriya
pa | Punjabi
pl | Pools
ps | Pasjto
pt | Portugees
rm | Retoromaans
rn | Kirundi
ro | Roemeens
ru | Russisch
rw | Kinyarwanda
sa | Sanskriet
sd | Sindhi
se | Noord-Samisch
sg | Sangho
sh | Servokroatisch
si | Singalees
sk | Slovaaks
sl | Sloveens
sm | Samoaans
sn | Shona
so | Somali
sq | Albanees
sr | Servisch
ss | Siswati
st | Sesotho
su | Soendanees
sv | Zweeds
sw | Swahili
ta | Tamil
te | Teloegoe
tg | Tadzjieks
th | Thai
ti | Tigrinya
tk | Turkmeens
tl | Tagalog
tn | Setswana
to | Tonga
tr | Turks
ts | Tsonga
cs | Tsjechisch
tt | Tataars
tw | Twi
ug | Oeigoers
uk | Oekraïens
ur | Urdu
uz | Oezbeeks
vi | Vietnamees
vo | Volapuk
wo | Wolof
xh | Xhosa
yi | Jiddisch
yo | Yoruba
za | Tsjoeang
zh | Chinees
zu | Zoeloe
