ab | Abkhazian
aa | Afar
af | Afrikaans
ak | Akan
sq | Albanian
am | Amharic
ar | Árabe
an | Aragonese
hy | Armênio
as | Assamese
av | Avaric
ae | Avestan
ay | Aymara
az | Azerbaijani
bm | Bambara
by | Banyumasan
ba | Bashkir
eu | Basco
be | Bielorusso
bn | Bangla
bh | Bihari
bi | Bislama
bs | Bósnio
br | Bretão
bg | Búlgaro
my | Burmese
ca | Catalão
ch | Chamorro
ce | Chechen
ny | Chichewa
zh | Chinês
cu | Church Slavonic
cv | Chuvash
kw | Cornish
co | Corsican
cr | Cree
hr | Croata
cs | Checo
da | Dinamarquês
dv | Divehi
nl | Holandês
dz | Dzongkha
en | Inglês
eo | Esperanto
et | Estonian
ee | Ewe
fo | Faroese
fj | Fijian
fi | Finlandês
fr | Francês
fy | Frisian
ff | Fulah
gl | Galício
lg | Ganda
ka | Georgian
de | Alemão
el | Grego
kl | Greenlandic
gn | Gurandi
gu | Gujarati
ht | Haitian
ha | Hausa
he | Hebreu
hz | Herero
hi | Hindi
ho | Hiri Motu
hu | Húngaro
ia | Interlingua
ie | Interlingue
is | Icelandic
io | Ido
ig | Igbo
id | Indonésio
iu | Inukitut
ik | Inupiag
ga | Irlandês
it | Italiano
ja | Japanese
jv | Javanese
kn | Kannada
kr | Kanuri
ks | Kashmiri
kk | Kazakh
km | Khmer
ki | Kikuyu
rw | Kinyarwanda
ky | Kirghiz
kv | Komi
kg | Kongo
ko | Coreano
kj | Kuanyama
ku | Kurdish
lo | Lao
la | Latim
lv | Latvian
li | Limburgish
ln | Lingala
lt | Lithuanian
lu | Luba-Katanga
lb | Luxembourgish
mk | Macedonian
mg | Malagasy
ms | Malay
ml | Malayalam
mt | Maltês
gv | Manx
mi | Maori
mr | Marathi
mh | Marshallese
mo | Moldavian
mn | Mongolian
na | Nauruan
nv | Navajo
nd | Ndebele, North
nr | Ndebele, South
ng | Ndonga
ne | Nepalês
se | Northern Sami
no | Norueguês
nb | Norueguês Bokmål
nn | Norueguês Nynorsk
oc | Occitan
oj | Ojibwa
or | Oriya
om | Oromo
os | Ossetian
pi | Pali
fa | Pérsio
pl | Polonês
pt | Português
pa | Punjabi
ps | Pushto
qu | Quechua
rm | Raeto-Romance
ro | Romeno
rn | Rundi
ru | Russo
sm | Samoan
sg | Sango
sa | Sanskrit
sc | Sardinian
gd | Gaelic
sr | Serbian
sn | Shona
ii | Sichuan Yi
sd | Sindhi
si | Sinhalese
sk | Eslovaco
sl | Esloveno
so | Somali
st | Sotho
es | Espanhol
su | Sundanese
sw | Swahili
ss | Swati
sv | Sueco
tl | Tagalog
ty | Tahitian
tg | Tajik
ta | Tamil
tt | Tatar
te | Telugu
th | Thai
bo | Tibetano
ti | Tigrinya
to | Tonga
ts | Tsonga
tn | Tswana
tr | Turco
tk | Turkmen
tw | Twi
ug | Uighur
uk | Ucraniano
ur | Urdu
uz | Uzbek
ve | Venda
vi | Vietnamita
vo | Volapük
wa | Walloon
cy | Welsh
wo | Wolof
xh | Xhosa
yi | Yiddish
yo | Yoruba
za | Zhuang
zu | Zulu
